HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3,All_Yes_actions,Majority_Yes_actions,Majority_No_actions
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,gluten free,0,2,0,,gluten free,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,cross-contaminated most commercial art products,1,2,0,,,cross-contaminated most commercial art products
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,process other grains like wheat or rye,1,2,0,,,process other grains like wheat or rye
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,suffers from a gluten allergy or a gluten intolerance,0,2,0,,suffers from a gluten allergy or a gluten intolerance,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,labeled gluten-free,0,2,1,,,labeled gluten-free
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,bring that to a boil on the stove,0,0,0,bring that to a boil on the stove,bring that to a boil on the stove,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,make it a positive statement about yourself,0,0,0,make it a positive statement about yourself,make it a positive statement about yourself,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,fill it in,0,0,0,fill it in,fill it in,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,do you in that day,0,2,1,,,do you in that day
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,make today great,0,2,0,,make today great,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,focus on that the second question,0,2,0,,focus on that the second question,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,complete the sentence the key,0,2,0,,complete the sentence the key,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,brave I,0,2,0,,brave I,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,strain the seeds,0,1,0,,strain the seeds,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,looking back that,0,2,1,,,looking back that
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,do if I ever,0,2,0,,do if I ever,
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,make this again in the future which I,0,2,0,,make this again in the future which I,
3ICOHX7ENBABH858UHUAYTFODZW0EN,4p0_3mini_7.mp4,got planned something fun that you,0,0,2,,got planned something fun that you,
3ICOHX7ENBABH858UHUAYTFODZW0EN,4p0_3mini_7.mp4,got planned for later or even just,0,0,2,,got planned for later or even just,
