HIT_nb,Video_name,Actions,Worker_1,Worker_GT,Same_results
29,7mini_19.mp4,live in,1,1,x
29,7mini_19.mp4,brush my hair,0,0,x
29,7mini_19.mp4,"loving the heatless waves , which",1,1,x
29,4mini_18.mp4,finish off by,1,1,x
29,4mini_18.mp4,using some of their body oil which I,0,0,x
29,4mini_18.mp4,gon just before I,1,1,x
29,4mini_18.mp4,use just the moisturize my body,0,0,x
29,4mini_18.mp4,get into bed,0,0,x
29,4mini_18.mp4,chew out snowballs,1,1,x
29,1mini_40.mp4,making them at home,0,0,x
29,1mini_40.mp4,controlling the ingredients that,0,0,x
29,1mini_40.mp4,go in there,1,1,x
29,1mini_40.mp4,starting again with a food processor I,0,0,x
29,1mini_40.mp4,frozen berries that I,1,1,x
29,1mini_40.mp4,sitting out for a little bit,1,1,x
44,4mini_9.mp4,couple my legs,1,1,x
44,4mini_9.mp4,pick some,0,0,x
44,4mini_9.mp4,chilled out music,1,1,x
44,4mini_9.mp4,sit in the bath,0,0,x
44,4mini_9.mp4,check social meter in the bath,0,0,x
44,4mini_9.mp4,actually dropped my phone in the bath yet,1,1,x
44,4mini_15.mp4,make my hair amazing I,1,1,x
44,4mini_15.mp4,using it for about a month or,1,1,x
44,4mini_15.mp4,putting on a bit of Oprah or Wonder,0,0,x
44,4mini_15.mp4,lash to my neck,1,1,x
