HIT_nb,Video_name,Actions,Worker_1,Worker_2,Worker_3
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,smile when you,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,look at him,1,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,getting outside for the first time,0,1,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,get in the car,0,0,-1
3FI30CQHVJI8OGF3MF816MJUN55B6Z,3mini_5.mp4,head to our favorite place,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,get out of bed,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,head straight to the couch the first thing that I,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,looking at my phone in the morning anymore,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,mix my coffee with a little bit of soy milk,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,stay asleep which,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,give it a thumbs up,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,6p1_3mini_1.mp4,use the black coffee pods I,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,cooled pasta into a bowl,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,put mixed nuts,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,add a bunch of veggies,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,dried apricots,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,added some dates which,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,make it a little bit healthier,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,sliced in half,0,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,using for these lunches I,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,found them on Amazon for around 10,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,come with a spork which,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,use brown rice or quinoa pasta just,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,eat it every single day sometimes twice a day,1,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,give it some added protein,1,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,8p1_3mini_4.mp4,put the,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,do during the week or on the weekend when you,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,has about 17 grams of protein that,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,show you,0,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,get one that,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,mix mine this,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,heard of it,2,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,10p1_3mini_1.mp4,add mine with a whole banana,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,check my social media,1,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,answer to you guys,1,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,Let me just,2,1,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,make it at home,1,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,put the jar lid on,1,0,-1
3M4KL7H8KUM7BIXBKIFC0A6L1TE61B,7mini_31.mp4,take it with you to school or work,1,1,-1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,has sugar already you,2,1,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,snacking on any of those junk foods that people,2,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,do my first breakfast option here,2,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,keep you full hopefully into lunch time,2,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,control it,1,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,10p1_3mini_1.mp4,add your sugar,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,made with coconut milk it,2,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eat in a daze if you,2,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eat one,0,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,click the,2,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,check out some more what I,2,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,ended up just,2,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eating the whole bar,1,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,finish off my friday night I,2,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,see you next Sunday bye,2,2,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,making this recipe I,2,1,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,eats for the day I,2,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,get some extra veggies,1,2,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,tasted incredible this,2,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,5p0_3mini_7.mp4,stop myself from,2,1,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,freaked her out Brooks,2,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,offer him a lot of variety in the end the goal,2,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,pique her interest,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,get together a few friends,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,come to terms with that another day another peanut butter,2,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,support it,1,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,9p0_3mini_5.mp4,making lunch,1,0,1
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails every weekend morning,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,filming later that day,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,", and",2,0,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,listen to some music,1,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,paint my nails,0,1,0
3ZQX1VYFTC4FBON0JZALWKFK0ZE8OM,7mini_36.mp4,went for this purple shade on all the nails except my ring finger,0,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,keep things pretty simple,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,use that as a table runner,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,looks really pretty as well,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,sitting around in my house,-1,0,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,got this cake,-1,1,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,wrapped twine around it,-1,1,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p1_3mini_16.mp4,seen better days,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,adds healthy fats to my breakfast,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,added pure Earth 's,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,purchased in facilities that also,-1,2,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,making Apple Oatmeal this,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,add the rest of the ingredients I always,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,mix half a cup of whole rolled oats with one,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,simmer for about 10 to 20 minutes depending on how much water I,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,adding one flat teaspoon of coconut oil to mark meal this,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,gluten free,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,cross-contaminated most commercial art products,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,process other grains like wheat or rye,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,suffers from a gluten allergy or a gluten intolerance,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,labeled gluten-free,-1,2,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,6p0_3mini_2.mp4,bring that to a boil on the stove,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,make it a positive statement about yourself,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,fill it in,-1,0,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,do you in that day,-1,2,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,make today great,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,focus on that the second question,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,complete the sentence the key,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,4p0_3mini_7.mp4,brave I,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,strain the seeds,-1,1,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,looking back that,-1,2,1
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,do if I ever,-1,2,0
35NNO802AUVQI9Z1R6MZUK9TDLEINP,1mini_15.mp4,make this again in the future which I,-1,2,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,go to Target,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,go along good I just,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,start at the Dollar Tree,1,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,smells really good next thing I,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,smells really good now this,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,see what they,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,3p1_3mini_3.mp4,smells it just,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,answer the three questions that I,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,design your own morning routine however you like it,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,asks you,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,use the five-minute journal app sometimes,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,takes actually less than five minutes,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,use it,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,got the three questions from you,1,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,take a few minutes to journal if you into that I,1,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,stay off social media,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,mentioned earlier that,0,-1,2
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,sit by yourself for a quiet moment in the morning,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,meditating you,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,4p0_3mini_14.mp4,ask myself the three questions it,1,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,chop up a red onion,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,filling then,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,make some kind of like twice baked pizza sweet potato,1,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,do pizza on friday,1,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,added some nutritional yeast,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,filling up with a fort,0,-1,1
307L9TDWJXRBS6HI63FCQE74U3H3NA,5p0_3mini_5.mp4,give it that salty cheesy flavor,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,make sure your skin,0,-1,2
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,cleansed before you,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,do all that,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,absorbing all that serum when there,0,-1,0
307L9TDWJXRBS6HI63FCQE74U3H3NA,6mini_2.mp4,move on,0,-1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,steamed it in the microwave just like you,0,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,added some kind of like pizza ingredients,0,0,0
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,picked up a huge sweet potato from the store on my way home,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,got some of this tomato basil kinda like a marinara sauce,0,0,0
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,took out the I just,0,1,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,mashed the,2,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,5p0_3mini_5.mp4,make a big potato,2,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,tasked me with,0,2,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,doing something a little different this morning we,0,2,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,do since I,2,2,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,watching this I,2,2,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,eat more,0,2,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,do my parents for breakfast or brunch,2,0,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,bringing a frittata,0,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,exchanged gifts with just each other,2,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,make a tofu quiche,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,hope that,0,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,celebrate anything else during the holiday I,0,0,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,celebrate if you,0,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,bring a plant-based option to the meal,2,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,2p0_3mini_1.mp4,hope you,0,1,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,stay warm for a very long time,0,0,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,comes with four slots,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,warm them up,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,making sandwiches,0,0,0
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,giving you specific compartments now there,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,pour a little bit of hot water in them,0,0,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,9p0_3mini_2.mp4,sporks they,2,0,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,baking sheet,2,1,2
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,Flat the mixture down with a spatula,2,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,making sure,2,1,1
3YKP7CX6G1ERSGT85PDTC0JQIGPB7Y,7mini_26.mp4,Place them in the oven preheated at around 300 Fahrenheit or 160 degrees Celsius,2,1,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,make sure that they,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,use when I,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,organize your supplies if you,0,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,pack your kids lunches by,0,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,set aside a drawer in your kitchen,1,0,0
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,moving on to the main component I really,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,9p0_3mini_2.mp4,put your warm pasta in there,1,1,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,pop that on to the store for another few minutes anyway from 5 to 10 minutes,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,speed up the cooking time though you,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,works too,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,chopped whole almonds just,0,1,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,serve it in a ball,1,2,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,add extra sweet another it just,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,top it with 1 tablespoon of unsweetened almond butter,0,0,0
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,fall in the ODE the sweeter the earth,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,depends on how much of a sweet tooth I,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,use the one of the other others some nut butter or some raw almonds,0,2,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,depends what kind of mood I,0,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,cook the apples,0,0,0
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6p0_3mini_4.mp4,add the Apple foods a lot sooner that,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,get them from Walmart from Amazon anywhere you,0,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,tear into,1,0,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,searching for,1,2,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,grab it,1,0,0
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,link them down below,1,2,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,got this picture,1,0,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,4p1_3mini_17.mp4,pick them up for pretty inexpensive,0,1,1
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6mini_17.mp4,understand whether it,2,1,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6mini_17.mp4,growing in my tub,2,2,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6mini_17.mp4,followed me,2,2,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6mini_17.mp4,get in the tub,2,1,2
35ZRNT9RUHXTARHU7IFP5379KDM3OP,6mini_17.mp4,drink a bunch of water,2,1,2
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,found some,0,1,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,seen these all over you,0,2,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,moving back into the living room I,0,0,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,got a couple bunches of flowers from the Dollar Tree,0,0,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,saw it at Smith 's the other day on sale,0,1,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,found them on Amazon,0,2,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p1_3mini_17.mp4,set those in there,0,0,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,make their beds in the morning,0,0,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,give you good sustained energy throughout the entire morning,0,2,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,eat a healthier breakfast in the morning you,0,0,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,sets the tone for your entire day of,0,2,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,take on the day than people who,0,2,-1
38O9DZ0A61ME03F73MFQ5TGQTZS62S,4p0_3mini_4.mp4,eat for breakfast really,0,2,-1
